,날짜,VKOSPI_Label,VKOSPI_new_Label
0,2023-06-12,0,0
1,2023-06-13,0,0
2,2023-06-14,0,0
3,2023-06-15,0,0
4,2023-06-16,0,0
5,2023-06-19,0,0
6,2023-06-20,0,0
7,2023-06-21,1,1
8,2023-06-22,0,0
9,2023-06-23,0,0
10,2023-06-26,0,0
11,2023-06-27,0,0
12,2023-06-28,0,0
13,2023-06-29,1,0
14,2023-06-30,0,0
15,2023-07-03,0,0
16,2023-07-04,0,0
17,2023-07-05,0,0
18,2023-07-06,1,1
19,2023-07-07,1,1
20,2023-07-10,1,1
21,2023-07-11,0,0
22,2023-07-12,1,0
23,2023-07-13,0,0
24,2023-07-14,1,1
25,2023-07-17,0,0
26,2023-07-18,0,0
27,2023-07-19,0,0
28,2023-07-20,0,0
29,2023-07-21,0,0
30,2023-07-24,1,1
31,2023-07-25,0,0
32,2023-07-26,1,1
33,2023-07-27,0,0
34,2023-07-28,0,0
35,2023-07-31,0,0
36,2023-08-01,0,0
37,2023-08-02,1,1
38,2023-08-03,1,1
39,2023-08-04,0,0
40,2023-08-07,0,0
41,2023-08-08,1,1
42,2023-08-09,0,0
43,2023-08-10,0,0
44,2023-08-11,0,0
45,2023-08-14,1,0
46,2023-08-16,1,1
47,2023-08-17,0,0
48,2023-08-18,0,0
49,2023-08-21,0,0
50,2023-08-22,0,0
51,2023-08-23,0,0
52,2023-08-24,0,0
53,2023-08-25,0,0
54,2023-08-28,0,0
55,2023-08-29,0,0
56,2023-08-30,0,0
57,2023-08-31,0,0
58,2023-09-01,0,0
59,2023-09-04,0,0
60,2023-09-05,0,0
61,2023-09-06,1,0
62,2023-09-07,1,1
63,2023-09-08,0,0
64,2023-09-11,0,0
65,2023-09-12,1,1
66,2023-09-13,1,0
67,2023-09-14,0,0
68,2023-09-15,0,0
69,2023-09-18,1,0
70,2023-09-19,1,0
71,2023-09-20,0,0
72,2023-09-21,1,1
73,2023-09-22,0,0
74,2023-09-25,0,0
75,2023-09-26,1,1
76,2023-09-27,0,0
77,2023-10-04,1,1
78,2023-10-05,1,1
79,2023-10-06,1,1
